Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
366,"B. Dean","Shark-skin surfaces for fluid-drag reduction in turbulent flow: A review",2010,"Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=78149327846&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78149327846&origin=inward",11,"2020-10-09 21:34:25","Review","10.1098/rsta.2010.0201","1364-503X","https://api.elsevier.com/content/abstract/scopus_id/78149327846",368,1929,4775,4806,366,36.60,366,1,10,""
356,"S. Smith","Intrinsic rebound potentials of 26 species of Pacific sharks",1998,"Marine and Freshwater Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0032423499&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032423499&origin=inward",12,"2020-10-09 21:34:25","Article","10.1071/MF97135","1323-1650","https://api.elsevier.com/content/abstract/scopus_id/0032423499",49,7,663,678,356,16.18,356,1,22,""
352,"K. Moore","Squalamine: An aminosterol antibiotic from the shark",1993,"Proceedings of the National Academy of Sciences of the United States of America","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0027464725&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0027464725&origin=inward",13,"2020-10-09 21:34:25","Article","10.1073/pnas.90.4.1354","0027-8424","https://api.elsevier.com/content/abstract/scopus_id/0027464725",90,4,1354,1358,352,13.04,352,1,27,""
349,"M. Heithaus","Food availability and tiger shark predation risk influence bottlenose dolphin habitat use",2002,"Ecology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0036162579&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036162579&origin=inward",14,"2020-10-09 21:34:25","Article","10.1890/0012-9658(2002)083[0480:FAATSP]2.0.CO;2","0012-9658","https://api.elsevier.com/content/abstract/scopus_id/0036162579",83,2,480,491,349,19.39,349,1,18,""
347,"M. Heupel","Shark nursery areas: Concepts, definition, characterization and assumptions",2007,"Marine Ecology Progress Series","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=34548224586&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34548224586&origin=inward",15,"2020-10-09 21:34:25","Review","10.3354/meps337287","0171-8630","https://api.elsevier.com/content/abstract/scopus_id/34548224586",337,,287,297,347,26.69,347,1,13,""
345,"L. Compagno","Phyletic relationships of living sharks and rays",1977,"Integrative and Comparative Biology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77957213109&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77957213109&origin=inward",16,"2020-10-09 21:34:25","Article","10.1093/icb/17.2.303","1540-7063","https://api.elsevier.com/content/abstract/scopus_id/77957213109",17,2,303,322,345,8.02,345,1,43,""
339,"R. Katila","Swimming with sharks: Technology ventures, defense mechanisms and corporate relationships",2008,"Administrative Science Quarterly","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=51549103938&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=51549103938&origin=inward",17,"2020-10-09 21:34:25","Article","10.2189/asqu.53.2.295","0001-8392","https://api.elsevier.com/content/abstract/scopus_id/51549103938",53,2,295,332,339,28.25,339,1,12,""
332,"H.A. Braun","Oscillation and noise determine signal transduction in shark multimodal sensory cells",1994,"Nature","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0028047174&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0028047174&origin=inward",18,"2020-10-09 21:34:25","Article","10.1038/367270a0","0028-0836","https://api.elsevier.com/content/abstract/scopus_id/0028047174",367,6460,270,273,332,12.77,332,1,26,""
325,"D. Bechert","Experiments with three-dimensional riblets as an idealized model of shark skin",2000,"Experiments in Fluids","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0001440672&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0001440672&origin=inward",19,"2020-10-09 21:34:25","Article","10.1007/s003480050400","0723-4864","https://api.elsevier.com/content/abstract/scopus_id/0001440672",28,5,403,412,325,16.25,325,1,20,""
315,"J. Baum","Shifting baselines and the decline of pelagic sharks in the Gulf of Mexico",2004,"Ecology Letters","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=1342269506&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=1342269506&origin=inward",20,"2020-10-09 21:34:25","Article","10.1111/j.1461-0248.2003.00564.x","1461-023X","https://api.elsevier.com/content/abstract/scopus_id/1342269506",7,2,135,145,315,19.69,315,1,16,""
304,"B. Worm","Global catches, exploitation rates, and rebuilding options for sharks",2013,"Marine Policy","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84874573760&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84874573760&origin=inward",21,"2020-10-09 21:34:25","Article","10.1016/j.marpol.2012.12.034","0308-597X","https://api.elsevier.com/content/abstract/scopus_id/84874573760",40,1,194,204,304,43.43,304,1,7,""
302,"R. Bonfil","Transoceanic migration, spatial dynamics, and population linkages of white sharks",2005,"Science","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=26444477401&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=26444477401&origin=inward",22,"2020-10-09 21:34:25","Article","10.1126/science.1114898","0036-8075","https://api.elsevier.com/content/abstract/scopus_id/26444477401",310,5745,100,103,302,20.13,302,1,15,""
297,"A. Kalmijn","The electric sense of sharks and rays.",1971,"Journal of Experimental Biology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0015136197&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0015136197&origin=inward",23,"2020-10-09 21:34:25","Article","","0022-0949","https://api.elsevier.com/content/abstract/scopus_id/0015136197",55,2,371,383,297,6.06,297,1,49,""
292,"F.G. Carey","Movements of blue sharks (Prionace glauca) in depth and course",1990,"Marine Biology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0025076886&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0025076886&origin=inward",24,"2020-10-09 21:34:25","Article","10.1007/BF01344309","0025-3162","https://api.elsevier.com/content/abstract/scopus_id/0025076886",106,3,329,342,292,9.73,292,1,30,""
284,"F. Ferretti","Loss of large predatory sharks from the Mediterranean Sea",2008,"Conservation Biology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=48749095488&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=48749095488&origin=inward",25,"2020-10-09 21:34:25","Article","10.1111/j.1523-1739.2008.00938.x","0888-8892","https://api.elsevier.com/content/abstract/scopus_id/48749095488",22,4,952,964,284,23.67,284,1,12,""
284,"S.C. Clarke","Global estimates of shark catches using trade records from commercial markets",2006,"Ecology Letters","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=33748754014&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33748754014&origin=inward",26,"2020-10-09 21:34:25","Article","10.1111/j.1461-0248.2006.00968.x","1461-023X","https://api.elsevier.com/content/abstract/scopus_id/33748754014",9,10,1115,1126,284,20.29,284,1,14,""
273,"J. Castro","The shark nursery of Bulls Bay, South Carolina, with a review of the shark nurseries of the southeastern coast of the United States",1993,"Environmental Biology of Fishes","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0027833357&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0027833357&origin=inward",27,"2020-10-09 21:34:25","Article","10.1007/BF00842902","0378-1909","https://api.elsevier.com/content/abstract/scopus_id/0027833357",38,1,37,48,273,10.11,273,1,27,""
268,"E. Cortés","Life History Patterns and Correlations in Sharks",2000,"Reviews in Fisheries Science","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0000195482&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0000195482&origin=inward",28,"2020-10-09 21:34:25","Article","10.1080/10408340308951115","1064-1262","https://api.elsevier.com/content/abstract/scopus_id/0000195482",8,4,299,344,268,13.40,268,1,20,""
267,"T. Walker","Can shark resources be harvested sustainably? A question revisited with a review of shark fisheries",1998,"Marine and Freshwater Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0032423620&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032423620&origin=inward",29,"2020-10-09 21:34:25","Article","10.1071/MF98017","1323-1650","https://api.elsevier.com/content/abstract/scopus_id/0032423620",49,7,553,572,267,12.14,267,1,22,""
266,"P. Ball","Shark skin and other solutions",1999,"Nature","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0033526996&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0033526996&origin=inward",30,"2020-10-09 21:34:25","Short Survey","10.1038/22883","0028-0836","https://api.elsevier.com/content/abstract/scopus_id/0033526996",400,6744,,,266,12.67,266,1,21,""
261,"E. Cortés","Incorporating uncertainty into demographic modeling: Application to shark populations and their conservation",2002,"Conservation Biology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0036324152&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036324152&origin=inward",31,"2020-10-09 21:34:25","Article","10.1046/j.1523-1739.2002.00423.x","0888-8892","https://api.elsevier.com/content/abstract/scopus_id/0036324152",16,4,1048,1062,261,14.50,261,1,18,""
260,"R. Xin","Shark: SQL and rich analytics at scale",2013,"Proceedings of the ACM SIGMOD International Conference on Management of Data","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84880533620&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84880533620&origin=inward",32,"2020-10-09 21:34:25","Conference Paper","10.1145/2463676.2465288","0730-8078","https://api.elsevier.com/content/abstract/scopus_id/84880533620",,,13,24,260,37.14,260,1,7,""
259,"G. Naylor","A DNA sequencebased approach to the identification of shark and ray species and its implications for global elasmobranch diversity and parasitology",2012,"Bulletin of the American Museum of Natural History","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84874219711&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84874219711&origin=inward",33,"2020-10-09 21:34:25","Review","10.1206/754.1","0003-0090","https://api.elsevier.com/content/abstract/scopus_id/84874219711",,367,,,259,32.38,259,1,8,""
250,"G. Jarrell","Shark repellents and stock prices. The effects of antitakeover amendments since 1980",1987,"Journal of Financial Economics","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=45949112827&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=45949112827&origin=inward",34,"2020-10-09 21:34:25","Article","10.1016/0304-405X(87)90032-8","0304-405X","https://api.elsevier.com/content/abstract/scopus_id/45949112827",19,1,127,168,250,7.58,250,1,33,""
250,"P. Silva","Mechanism of active chloride secretion by shark rectal gland: role of Na-K-ATPase in chloride transport",1977,"American Journal of Physiology - Renal Fluid and Electrolyte Physiology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0017541481&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0017541481&origin=inward",35,"2020-10-09 21:34:25","Article","10.1152/ajprenal.1977.233.4.f298","","https://api.elsevier.com/content/abstract/scopus_id/0017541481",2,4,,,250,5.81,250,1,43,""
238,"B. Venkatesh","Survey sequencing and comparative analysis of the elephant shark (Callorhinchus milii) genome",2007,"PLoS Biology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=34247342594&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34247342594&origin=inward",36,"2020-10-09 21:34:25","Article","10.1371/journal.pbio.0050101","1544-9173","https://api.elsevier.com/content/abstract/scopus_id/34247342594",5,4,932,944,238,18.31,238,1,13,""
230,"A. Pardini","Sex-biased dispersal of great white sharks",2001,"Nature","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0035849819&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0035849819&origin=inward",37,"2020-10-09 21:34:25","Article","10.1038/35084125","0028-0836","https://api.elsevier.com/content/abstract/scopus_id/0035849819",412,6843,139,140,230,12.11,230,1,19,""
224,"D. Sims","Selective foraging behaviour of basking sharks on zooplankton in a small-scale front",1998,"Nature","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0032482359&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032482359&origin=inward",38,"2020-10-09 21:34:25","Article","10.1038/30959","0028-0836","https://api.elsevier.com/content/abstract/scopus_id/0032482359",393,6684,460,464,224,10.18,224,1,22,""
222,"W.D. Robbins","Ongoing Collapse of Coral-Reef Shark Populations",2006,"Current Biology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=33751423800&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33751423800&origin=inward",39,"2020-10-09 21:34:25","Article","10.1016/j.cub.2006.09.044","0960-9822","https://api.elsevier.com/content/abstract/scopus_id/33751423800",16,23,2314,2319,222,15.86,222,1,14,""
220,"C.G. Lowe","Ontogenetic dietary shifts and feeding behavior of the tiger shark, Galeocerdo cuvier, in Hawaiian waters",1996,"Environmental Biology of Fishes","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0029669774&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0029669774&origin=inward",40,"2020-10-09 21:34:25","Article","10.1007/BF00005044","0378-1909","https://api.elsevier.com/content/abstract/scopus_id/0029669774",47,2,203,211,220,9.17,220,1,24,""
212,"C. Lytle","The Na-K-Cl cotransport protein of shark rectal gland. II. Regulation by direct phosphorylation",1992,"Journal of Biological Chemistry","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0026465685&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0026465685&origin=inward",41,"2020-10-09 21:34:25","Article","","0021-9258","https://api.elsevier.com/content/abstract/scopus_id/0026465685",267,35,25438,25443,212,7.57,212,1,28,""
207,"J. Musick","Management of sharks and their relatives (elasmobranchii)",2000,"Fisheries","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=22844456834&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=22844456834&origin=inward",42,"2020-10-09 21:34:25","Article","10.1577/1548-8446(2000)025<0009:MOSATR>2.0.CO;2","0363-2415","https://api.elsevier.com/content/abstract/scopus_id/22844456834",25,3,9,13,207,10.35,207,1,20,""
202,"A. Klimley","The determinants of sexual segregation in the scalloped hammerhead shark, Sphyrna lewini",1987,"Environmental Biology of Fishes","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=1542787595&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=1542787595&origin=inward",43,"2020-10-09 21:34:25","Article","10.1007/BF00002325","0378-1909","https://api.elsevier.com/content/abstract/scopus_id/1542787595",18,1,27,40,202,6.12,202,1,33,""
195,"S. Jorgensen","Philopatry and migration of Pacific white sharks",2010,"Proceedings of the Royal Society B: Biological Sciences","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77649199870&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77649199870&origin=inward",44,"2020-10-09 21:34:25","Article","10.1098/rspb.2009.1155","0962-8452","https://api.elsevier.com/content/abstract/scopus_id/77649199870",277,1682,679,688,195,19.50,195,1,10,""
195,"H. Pratt","A review of elasmobranch reproductive behavior with a case study on the nurse shark, Ginglymostoma cirratum",2001,"Environmental Biology of Fishes","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0035115813&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0035115813&origin=inward",45,"2020-10-09 21:34:25","Review","10.1023/A:1007656126281","0378-1909","https://api.elsevier.com/content/abstract/scopus_id/0035115813",60,1,157,188,195,10.26,195,1,19,""
194,"G. Bixler","Bioinspired rice leaf and butterfly wing surface structures combining shark skin and lotus effects",2012,"Soft Matter","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84870923800&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84870923800&origin=inward",46,"2020-10-09 21:34:25","Article","10.1039/c2sm26655e","1744-683X","https://api.elsevier.com/content/abstract/scopus_id/84870923800",8,44,11271,11284,194,24.25,194,1,8,""
194,"M. Heithaus","State-dependent risk-taking by green sea turtles mediates top-down effects of tiger shark intimidation in a marine ecosystem",2007,"Journal of Animal Ecology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=34547869593&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34547869593&origin=inward",47,"2020-10-09 21:34:25","Article","10.1111/j.1365-2656.2007.01260.x","0021-8790","https://api.elsevier.com/content/abstract/scopus_id/34547869593",76,5,837,844,194,14.92,194,1,13,""
192,"N. Kohler","NMFS cooperative shark tagging program, 1962-93: An atlas of shark tag and recapture data",1998,"Marine Fisheries Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0032223784&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032223784&origin=inward",48,"2020-10-09 21:34:25","Review","","0090-1830","https://api.elsevier.com/content/abstract/scopus_id/0032223784",60,2,1,87,192,8.73,192,1,22,""
191,"C. Simpfendorfer","Utilisation of a tropical bay as a nursery area by sharks of the families Carcharhinidae and Sphyrnidae",1993,"Environmental Biology of Fishes","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0027797560&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0027797560&origin=inward",49,"2020-10-09 21:34:25","Article","10.1007/BF00005200","0378-1909","https://api.elsevier.com/content/abstract/scopus_id/0027797560",37,4,337,345,191,7.07,191,1,27,""
189,"Z. Arzoumanian","An astronomical pattern-matching algorithm for computer-aided identification of whale sharks Rhincodon typus",2005,"Journal of Applied Ecology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=31344449844&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=31344449844&origin=inward",50,"2020-10-09 21:34:25","Article","10.1111/j.1365-2664.2005.01117.x","0021-8901","https://api.elsevier.com/content/abstract/scopus_id/31344449844",42,6,999,1011,189,12.60,189,1,15,""
189,"W. Heyman","Whale sharks Rhincodon typus aggregate to feed on fish spawn in Belize",2001,"Marine Ecology Progress Series","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0035978268&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0035978268&origin=inward",51,"2020-10-09 21:34:25","Article","10.3354/meps215275","0171-8630","https://api.elsevier.com/content/abstract/scopus_id/0035978268",215,,275,282,189,9.95,189,1,19,""
184,"K.A. Bigelow","Environmental effects on swordfish and blue shark catch rates in the US North Pacific longline fishery",1999,"Fisheries Oceanography","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0032799840&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032799840&origin=inward",52,"2020-10-09 21:34:25","Article","10.1046/j.1365-2419.1999.00105.x","1054-6006","https://api.elsevier.com/content/abstract/scopus_id/0032799840",8,3,178,198,184,8.76,184,1,21,""
184,"J.T. Corwin","Postembryonic production and aging of inner ear hair cells in sharks",1981,"Journal of Comparative Neurology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0019481695&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0019481695&origin=inward",53,"2020-10-09 21:34:25","Article","10.1002/cne.902010406","0021-9967","https://api.elsevier.com/content/abstract/scopus_id/0019481695",201,4,541,553,184,4.72,184,1,39,""
183,"R. Stanfield","Crystal structure of a shark single-domain antibody V region in complex with lysozyme",2004,"Science","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=4544250973&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=4544250973&origin=inward",54,"2020-10-09 21:34:25","Article","10.1126/science.1101148","0036-8075","https://api.elsevier.com/content/abstract/scopus_id/4544250973",305,5691,1770,1773,183,11.44,183,1,16,""
181,"B. Johnson-Restrepo","Tetrabromobisphenol A (TBBPA) and hexabromocyclododecanes (HBCDs) in tissues of humans, dolphins, and sharks from the United States",2008,"Chemosphere","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=38849206372&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=38849206372&origin=inward",55,"2020-10-09 21:34:25","Article","10.1016/j.chemosphere.2007.10.002","0045-6535","https://api.elsevier.com/content/abstract/scopus_id/38849206372",70,11,1935,1944,181,15.08,181,1,12,""
181,"M. Heithaus","Habitat use and foraging behavior of tiger sharks (Galeocerdo cuvier) in a seagrass ecosystem",2002,"Marine Biology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0036942558&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036942558&origin=inward",56,"2020-10-09 21:34:25","Article","10.1007/s00227-001-0711-7","0025-3162","https://api.elsevier.com/content/abstract/scopus_id/0036942558",140,2,237,248,181,10.06,181,1,18,""
180,"A. Lee","Shark cartilage contains inhibitors of tumor angiogenesis",1983,"Science","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0020508740&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0020508740&origin=inward",57,"2020-10-09 21:34:25","Article","10.1126/science.6193581","0036-8075","https://api.elsevier.com/content/abstract/scopus_id/0020508740",221,4616,1185,1187,180,4.86,180,1,37,""
